编号,菜名,分类,配料 (g),适用餐次,口味,预计成本/份,热量 (kcal),蛋白质 (g),脂肪 (g),碳水 (g),标签
221,红烧狮子头,猪肉菜系,"猪肉糜(200g), 荸荠(30g), 鸡蛋(50g), 葱(10g), 姜(5g), 食用油(15g), 酱油(15g), 料酒(10g), 糖(5g), 淀粉(10g), 青菜(100g), 高汤(200g)","午餐, 晚餐",咸鲜,8.5,420,25,30,15,荤菜
222,红烧猪蹄,猪肉菜系,"猪蹄(400g), 姜(10g), 葱(15g), 八角(2g), 桂皮(2g), 香叶(1g), 食用油(20g), 冰糖(15g), 料酒(20g), 老抽(15g), 生抽(25g), 盐(5g), 水(适量)","午餐, 晚餐",咸鲜,15.5,650,35,45,20,荤菜
223,红烧猪蹄,猪肉菜系,"猪蹄块(200g), 生姜片(10g), 大葱段(15g), 八角(2g), 桂皮(1g), 香叶(0.5g), 冰糖(15g), 料酒(15g), 老抽(10g), 生抽(20g), 食用油(10g), 盐(3g), 水(适量)","午餐, 晚餐",咸鲜,8.5,450,25,32,12,荤菜
224,红烧肉,猪肉菜系,"五花肉(200g), 冰糖(15g), 老抽(10g), 生抽(15g), 料酒(10g), 生姜(10g), 葱(10g), 食用油(5g), 水(适量)","午餐, 晚餐",咸鲜,8.5,580,15,48,12,荤菜
225,红烧肉圆,猪肉菜系,"猪肉馅(80g), 鸡蛋液(10g), 葱(5g), 姜(3g), 料酒(5g), 生抽(8g), 老抽(3g), 白砂糖(5g), 食用油(8g), 淀粉(5g), 清水(30g)","午餐, 晚餐",咸鲜,4.2,220,12,16,6,荤菜
226,罗汉笋炒肉,猪肉菜系,"猪肉片(80g), 罗汉笋(100g), 青椒(30g), 红椒(20g), 姜(5g), 蒜(5g), 食用油(15g), 生抽(10g), 料酒(5g), 淀粉(3g), 盐和糖(各2g)","午餐, 晚餐",咸鲜,4.5,210,12.5,12,10,荤菜
227,老干妈炒油渣,猪肉菜系,"猪板油(100g), 老干妈豆豉酱(30g), 青椒(50g), 红椒(50g), 大蒜(10g), 生姜(5g), 小葱(5g), 食用油(15g), 生抽(10g), 白糖(3g), 米饭(300g)","午餐, 晚餐",咸鲜,8.5,650,12,45,50,荤菜
228,肉沫冬瓜,猪肉菜系,"冬瓜(200g), 猪肉末(80g), 食用油(8g), 葱(5g), 姜(3g), 蒜(5g), 酱油(10g), 盐(2g), 淀粉(3g)","午餐, 晚餐",咸鲜,3.2,195,9.5,12.8,10.2,荤菜
229,肉沫土豆,猪肉菜系,"土豆(300g), 猪肉末(80g), 食用油(15g), 葱(10g), 姜(5g), 蒜(5g), 酱油(15g), 盐(3g), 淀粉(5g)","午餐, 晚餐",咸鲜,4.5,365,12.5,15.2,45.3,荤菜
230,肉沫小白菜,猪肉菜系,"小白菜(200g), 猪肉末(80g), 食用油(15g), 蒜(10g), 姜(5g), 盐(3g), 酱油(8g), 料酒(5g), 淀粉(3g)","午餐, 晚餐",咸鲜,3.8,250,12.5,18.2,8.5,荤菜
231,肉沫炒碗豆,猪肉菜系,"猪肉末(80g), 豌豆(120g), 食用油(15g), 葱(10g), 姜(5g), 蒜(5g), 盐(2g), 酱油(8g), 料酒(5g), 淀粉(3g)","午餐, 晚餐",咸鲜,4.5,320,18,20,18,荤菜
232,肉沫粉条,猪肉菜系,"粉条(干, 100g), 猪肉末(150g), 葱(20g), 姜(10g), 蒜(15g), 食用油(20g), 酱油(15g), 料酒(10g), 盐(3g), 糖(2g), 饮用水(100g)","午餐, 晚餐",咸鲜,5.2,480,22,25,45,荤菜
233,肉沫茄子,猪肉菜系,"茄子(300g), 猪肉末(80g), 食用油(20g), 大蒜(15g), 姜(10g), 葱(10g), 酱油(15g), 糖(5g), 淀粉(5g), 盐(2g)","午餐, 晚餐",咸鲜,8.5,420,15,28,25,荤菜
234,肉沫荷包蛋,猪肉菜系,"猪肉末(120g), 鸡蛋(1个约60g), 米饭(300g), 食用油(15g), 酱油(10g), 姜末(5g), 蒜末(5g), 葱花(5g)","午餐, 晚餐",咸鲜,8.5,650,28,30,65,荤菜
235,肉沫蒸水蛋,猪肉菜系,"鸡蛋(150g), 猪肉末(50g), 水(150g), 葱花(5g), 生抽(10g), 香油(2g), 盐(2g), 白胡椒粉(0.5g)","午餐, 晚餐",清淡,2.8,235,15.5,17.2,2.5,荤菜
236,肉沫蒸蛋,猪肉菜系,"鸡蛋(200g), 猪肉末(80g), 葱花(10g), 生抽(15g), 香油(5g), 水(100g), 盐(2g)","午餐, 晚餐",清淡,3.5,280,20,20,4,荤菜
237,肉爆有机芹,猪肉菜系,"猪肉片(80g), 有机芹菜(150g), 葱(10g), 姜(5g), 蒜(10g), 食用油(15g), 酱油(8g), 料酒(5g), 盐(2g), 糖(1g), 淀粉(3g)","午餐, 晚餐",咸鲜,6.5,235,12.5,15.2,10.8,荤菜
238,肥肠血旺,猪肉菜系,"肥肠(80g), 鸭血(100g), 豆芽(30g), 食用油(15g), 豆瓣酱(20g), 花椒(2g), 干辣椒(3g), 葱(5g), 姜(5g), 蒜(5g), 料酒(5g), 酱油(10g), 盐(2g), 糖(2g), 水或高汤(150g)","午餐, 晚餐",咸鲜,8.5,320,15,24,10,荤菜
239,胡萝卜肉片,猪肉菜系,"猪里脊肉(120g), 胡萝卜(100g), 青椒(30g), 姜(5g), 蒜(5g), 食用油(15g), 生抽(10g), 老抽(2g), 料酒(5g), 淀粉(3g), 盐和糖(适量)","午餐, 晚餐",咸鲜,4.8,285,18.5,15.2,15.3,荤菜
240,腊肉炒儿菜,猪肉菜系,"腊肉(60g),儿菜(200g),蒜(10g),姜(5g),食用油(15g),盐(2g),糖(1g)","午餐, 晚餐",咸鲜,5.8,215,7.5,16.2,8.3,荤菜
241,腐竹炒肉,猪肉菜系,"猪里脊肉(80g), 腐竹(干重, 30g), 青椒(30g), 红椒(20g), 木耳(水发, 20g), 葱(5g), 姜(5g), 蒜(5g), 食用油(15g), 生抽(8g), 老抽(2g), 料酒(5g), 淀粉(3g), 盐(2g), 糖(1g)","午餐, 晚餐",咸鲜,6.8,325,22,20,15,荤菜
242,腐竹肉片,猪肉菜系,"猪瘦肉片(100g), 腐竹(干, 50g), 青椒(30g), 红椒(30g), 食用油(15g), 蒜(10g), 姜(5g), 生抽(10g), 老抽(3g), 料酒(5g), 淀粉(3g), 盐(2g), 糖(1g), 水(适量)","午餐, 晚餐",咸鲜,5.8,280,22.5,16.5,10.5,荤菜
243,腰肝合炒,猪肉菜系,"猪腰(80g), 猪肝(80g), 青椒(50g), 红椒(30g), 洋葱(50g), 姜(10g), 蒜(10g), 食用油(15g), 料酒(10g), 生抽(15g), 淀粉(8g), 盐(3g), 糖(2g)","午餐, 晚餐",咸鲜,8.5,320,28,18,12,荤菜
244,腰花炒水芹,猪肉菜系,"猪腰(80g), 水芹(150g), 食用油(15g), 葱(10g), 姜(5g), 蒜(5g), 料酒(10g), 生抽(8g), 老抽(2g), 白糖(3g), 淀粉(5g), 盐(2g)","午餐, 晚餐",咸鲜,6.5,225,15.2,12.8,12.5,荤菜
245,腰花爆肚丝,猪肉菜系,"猪腰(150g), 猪肚(100g), 青椒(50g), 红椒(30g), 大葱(20g), 姜(10g), 蒜(10g), 食用油(20g), 料酒(10g), 生抽(15g), 老抽(5g), 淀粉(10g), 盐(3g), 糖(2g), 胡椒粉(1g)","午餐, 晚餐",咸鲜,12.5,320,28,18,12,荤菜
246,花椒榨菜肉丝,猪肉菜系,"猪里脊肉(100g), 榨菜(50g), 干花椒(3g), 食用油(15g), 青椒(30g), 红椒(20g), 姜(5g), 蒜(5g), 料酒(5g), 生抽(10g), 淀粉(3g), 糖(2g)","午餐, 晚餐",咸鲜,4.8,285,18.5,18.2,10.3,荤菜
247,花生炖猪蹄肘,猪肉菜系,"猪蹄肘(200g), 花生(50g), 姜(10g), 葱(10g), 料酒(15g), 生抽(20g), 老抽(5g), 冰糖(10g), 食用油(10g), 盐(3g), 水(适量)","午餐, 晚餐",清淡,12.5,520,28,38,15,汤类
248,花生焖猪手,猪肉菜系,"猪手块（带骨）(200g), 花生仁(50g), 生姜(10g), 大葱(10g), 大蒜(10g), 食用油(15g), 生抽(15g), 老抽(5g), 料酒(10g), 冰糖(8g), 盐(2g), 清水(适量)","午餐, 晚餐",咸鲜,8.5,480,22,36,12,荤菜
249,花生黄豆炖肘子,猪肉菜系,"猪肘子(300g), 花生仁(30g), 黄豆(30g), 姜(10g), 葱(10g), 料酒(15g), 酱油(20g), 冰糖(10g), 盐(5g), 食用油(5g), 水(适量)","午餐, 晚餐",清淡,12.5,680,45,48,18,汤类
250,花甲焖肥肠,猪肉菜系,"花甲肉(80g), 猪大肠(100g), 青椒(30g), 红椒(20g), 姜(10g), 蒜(15g), 葱(10g), 食用油(15g), 酱油(15g), 料酒(10g), 蚝油(10g), 糖(5g), 盐(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,12.5,320,18,22,10,荤菜
251,花菜炒腊肉,猪肉菜系,"花菜(200g),腊肉(80g),青椒(30g),红椒(20g),大蒜(10g),食用油(15g),盐(2g),生抽(10g)","午餐, 晚餐",咸鲜,8.5,350,12,25,15,荤菜
252,花菜肉片,猪肉菜系,"花菜(200g), 猪肉片(80g), 食用油(15g), 葱(5g), 姜(5g), 蒜(5g), 盐(2g), 酱油(10g), 料酒(5g), 淀粉(3g)","午餐, 晚餐",咸鲜,4.2,280,15,18,12,荤菜
253,芹菜肉丝,猪肉菜系,"猪里脊肉(100g), 芹菜(150g), 食用油(15g), 姜(5g), 蒜(5g), 盐(2g), 酱油(10g), 料酒(5g), 淀粉(3g)","午餐, 晚餐",咸鲜,4.2,235,15.5,12.8,12.2,荤菜
254,苕皮回锅肉,猪肉菜系,"五花肉(100g), 苕皮(80g), 青蒜(30g), 青椒(20g), 红椒(10g), 姜(5g), 蒜(5g), 郫县豆瓣酱(15g), 豆豉(5g), 白糖(3g), 生抽(10g), 料酒(5g), 食用油(15g)","午餐, 晚餐",咸鲜,8.5,450,15,30,25,荤菜
255,苦瓜肉丝,猪肉菜系,"苦瓜(120g), 猪瘦肉丝(80g), 食用油(15g), 酱油(10g), 姜(5g), 蒜(5g), 淀粉(3g), 盐(2g)","午餐, 晚餐",咸鲜,4.8,185,12.5,12,6.5,荤菜
256,苦瓜肉片,猪肉菜系,"苦瓜(200g), 猪里脊肉(120g), 葱(10g), 姜(5g), 蒜(10g), 食用油(15g), 生抽(10g), 淀粉(5g), 盐(3g), 糖(2g)","午餐, 晚餐",咸鲜,6.5,280,18,18,12,荤菜
257,苦瓜酿肉,猪肉菜系,"苦瓜(200g), 猪肉馅(100g), 葱(10g), 姜(5g), 淀粉(15g), 食用油(15g), 酱油(10g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,8.5,280,15,18,12,荤菜
258,茄汁肉条,猪肉菜系,"猪里脊肉(120g),菠萝(50g),番茄酱(40g),白砂糖(15g),白醋(10g),淀粉(20g),鸡蛋(20g),食用油(20g),葱(5g),姜(5g),蒜(5g),盐(2g)","午餐, 晚餐",糖醋,8.5,420,22,18,42,荤菜
259,茭头爆大肠,猪肉菜系,"猪大肠(200g), 茭头(100g), 食用油(20g), 酱油(15g), 料酒(10g), 姜(10g), 蒜(10g), 盐(3g), 糖(2g)","午餐, 晚餐",咸鲜,8.5,420,15,32,12,荤菜
260,茭瓜炒肉,猪肉菜系,"猪肉片(80g), 茭瓜(150g), 食用油(10g), 蒜末(5g), 姜末(3g), 盐(2g), 酱油(8g), 淀粉(3g), 料酒(5g)","午餐, 晚餐",咸鲜,4.2,180,10,11,8,荤菜
261,茭瓜炒肉片,猪肉菜系,"猪肉片(80g), 茭瓜(150g), 食用油(15g), 葱(5g), 姜(3g), 蒜(5g), 盐(2g), 酱油(8g), 料酒(5g), 淀粉(3g)","午餐, 晚餐",咸鲜,4.2,195,10.5,12.8,9.6,荤菜
262,茭白肉片,猪肉菜系,"茭白(150g), 猪肉片(100g), 青椒(30g), 红椒(20g), 食用油(15g), 葱(10g), 姜(5g), 蒜(5g), 生抽(10g), 料酒(5g), 淀粉(3g), 盐(2g)","午餐, 晚餐",咸鲜,6.5,320,18,20,15,荤菜
263,茶树菇炒肉,猪肉菜系,"猪里脊肉(80g), 干茶树菇(20g), 青椒(30g), 红椒(30g), 大蒜(10g), 姜(5g), 食用油(15g), 生抽(10g), 老抽(3g), 料酒(5g), 淀粉(5g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,5.8,285,18.5,16.2,14.7,荤菜
264,荔薄芋头扣肉,猪肉菜系,"荔浦芋头(150g), 五花肉(100g), 食用油(15g), 酱油(20g), 蚝油(10g), 料酒(10g), 白糖(8g), 葱(5g), 姜(5g), 蒜(5g), 八角(1g), 淀粉(3g)","午餐, 晚餐",咸鲜,12.5,420,12,28,25,荤菜
265,莲白肉片,猪肉菜系,"猪肉片(100g), 莲白(150g), 食用油(15g), 姜(5g), 蒜(5g), 干辣椒(2g), 花椒(1g), 酱油(10g), 料酒(5g), 淀粉(3g), 盐(2g), 糖(1g)","午餐, 晚餐",咸鲜,4.5,320,18,22,12,荤菜
266,莲藕蒸肉饼,猪肉菜系,"猪肉末(150g), 莲藕(100g), 葱(10g), 姜(5g), 淀粉(10g), 生抽(10g), 料酒(5g), 盐(2g), 白胡椒粉(1g), 食用油(5g)","午餐, 晚餐",清淡,4.2,280,15.5,18,12.5,荤菜
267,莴笋肉片,猪肉菜系,"猪里脊肉(100g), 莴笋(150g), 红椒(10g), 蒜(5g), 姜(3g), 食用油(15g), 食盐(2g), 生抽(10g), 淀粉(5g), 料酒(5g)","午餐, 晚餐",咸鲜,5.8,250,15.5,15.2,10.8,荤菜
268,菌汤肘子,猪肉菜系,"猪肘子(200g), 干菌菇(20g), 生姜(10g), 葱(10g), 料酒(15g), 盐(5g), 白胡椒粉(1g), 水(400g)","午餐, 晚餐",清淡,12.5,350,25,22,8,汤类
269,菲菜花剁肉,猪肉菜系,"韭菜花(100g), 猪肉末(80g), 食用油(15g), 姜(5g), 蒜(5g), 盐(2g), 酱油(8g), 料酒(5g)","午餐, 晚餐",咸鲜,4.2,245,12.5,18,6.5,荤菜
270,蒜台炒肉,猪肉菜系,"猪肉片(100g), 蒜苔(150g), 食用油(15g), 姜(5g), 蒜(10g), 盐(2g), 酱油(10g), 料酒(5g), 淀粉(3g)","午餐, 晚餐",咸鲜,4.5,320,18,20,15,荤菜
271,蒜泥白肉,猪肉菜系,"猪五花肉(150g),蒜泥(20g),酱油(15g),红油(10g),白糖(5g),香醋(5g),姜片(5g),葱段(5g),熟芝麻(2g)","午餐, 晚餐",蒜香,8.5,450,15,40,5,荤菜
272,蒜泥白肉,猪肉菜系,"猪五花肉(150g), 黄瓜(100g), 蒜泥(20g), 生抽(15g), 香醋(10g), 红油(10g), 白糖(5g), 盐(2g), 芝麻油(5g), 葱花(5g)","午餐, 晚餐",蒜香,8.5,350,15,28,8,荤菜
273,蒜苔炒猪肝,猪肉菜系,"猪肝(100g), 蒜苔(150g), 食用油(15g), 姜(5g), 蒜(5g), 料酒(10g), 生抽(10g), 淀粉(5g), 盐(2g)","午餐, 晚餐",咸鲜,6.5,280,22.5,15.5,12,荤菜
274,蒜苔炒耳片,猪肉菜系,"猪耳片(100g), 蒜苔(150g), 红椒(20g), 姜(5g), 蒜(5g), 食用油(15g), 生抽(10g), 老抽(3g), 料酒(5g), 盐(2g), 糖(1g)","午餐, 晚餐",咸鲜,8.5,280,15,18,12,荤菜
275,蒜苔肉丝,猪肉菜系,"猪瘦肉(120g), 蒜苔(200g), 食用油(15g), 姜(5g), 蒜(10g), 生抽(10g), 老抽(3g), 料酒(5g), 淀粉(5g), 盐(2g), 糖(1g)","午餐, 晚餐",咸鲜,8.5,365,25,20,20,荤菜
276,蒜苔肉片,猪肉菜系,"猪里脊肉(100g), 蒜苔(150g), 食用油(15g), 姜(5g), 蒜(10g), 生抽(10g), 老抽(3g), 料酒(5g), 淀粉(5g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,8.5,320,18,20,15,荤菜
277,蒜苗干子肉丝,猪肉菜系,"猪里脊肉(80g), 蒜苗(100g), 豆腐干(50g), 食用油(15g), 酱油(8g), 盐(2g), 淀粉(5g), 姜末(3g), 蒜末(3g), 糖(1g)","午餐, 晚餐",咸鲜,6.5,320,20,22,10,荤菜
278,蒜苗肉片,猪肉菜系,"猪肉片(100g), 蒜苗(150g), 食用油(15g), 姜(5g), 蒜(5g), 盐(2g), 生抽(10g), 料酒(5g), 淀粉(3g), 糖(1g)","午餐, 晚餐",咸鲜,4.5,280,15,20,8,荤菜
279,蒜薹炒红肠,猪肉菜系,"蒜薹(200g), 红肠(100g), 食用油(15g), 盐(3g), 生抽(10g), 蒜(10g), 姜(5g)","午餐, 晚餐",咸鲜,8.5,350,15,25,15,荤菜
280,蒜香五花肉,猪肉菜系,"五花肉(150g), 大蒜(30g), 食用油(15g), 生抽(15g), 老抽(5g), 料酒(10g), 白糖(5g), 淀粉(5g), 青红椒(20g)","午餐, 晚餐",蒜香,8.5,485,15,42,8,荤菜
281,蒸肉饼,猪肉菜系,"猪肉糜(100g), 干香菇(5g), 马蹄(20g), 姜末(5g), 葱花(5g), 生抽(8g), 蚝油(5g), 白胡椒粉(0.5g), 淀粉(10g), 食用油(5g), 清水(20g)","午餐, 晚餐",清淡,4.2,220,12.5,15,8.5,荤菜
282,虎皮大肉,猪肉菜系,"五花肉(300g), 食用油(20g), 酱油(15g), 老抽(5g), 冰糖(10g), 姜(10g), 葱(10g), 料酒(10g), 八角(2g), 桂皮(1g), 盐(2g)","午餐, 晚餐",咸鲜,12.5,650,25,55,8,荤菜
283,虎皮香煎肉,猪肉菜系,"猪五花肉(200g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(15g), 料酒(10g), 白糖(5g), 盐(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,8.5,450,15,35,10,荤菜
284,西芹炒肉丁,猪肉菜系,"西芹(200g), 猪肉丁(100g), 食用油(15g), 姜末(5g), 蒜末(5g), 盐(3g), 酱油(8g), 料酒(5g), 淀粉(5g), 白胡椒粉(0.5g)","午餐, 晚餐",咸鲜,5.8,320,16.5,22,12,荤菜
285,西芹肉片,猪肉菜系,"猪里脊肉(80g), 西芹(150g), 红椒(20g), 姜(5g), 蒜(5g), 食用油(15g), 盐(2g), 酱油(10g), 料酒(5g), 淀粉(3g), 糖(1g)","午餐, 晚餐",咸鲜,5.2,245,15,12,18,荤菜
286,豆腐鸡蛋肉饼,猪肉菜系,"豆腐(100g), 鸡蛋(50g), 猪肉末(80g), 葱花(10g), 姜末(5g), 生抽(8g), 料酒(5g), 淀粉(10g), 食用油(15g), 盐(2g), 白胡椒粉(1g)","午餐, 晚餐",咸鲜,3.2,285,18.5,19.2,7.8,荤菜
287,豆花肉片,猪肉菜系,"猪里脊肉片(120g), 嫩豆腐(200g), 郫县豆瓣酱(30g), 食用油(20g), 葱花(10g), 姜末(5g), 蒜末(5g), 生抽(10g), 料酒(10g), 淀粉(8g), 糖(5g), 花椒(2g), 干辣椒段(3g), 高汤或水(150g)","午餐, 晚餐",咸鲜,8.5,385,25,22,18,荤菜
288,豆花肉片,猪肉菜系,"猪里脊肉片(100g), 嫩豆腐(150g), 刀口辣椒碎(15g), 干辣椒段(5g), 花椒(3g), 蒜末(20g), 姜末(10g), 葱花(10g), 食用油(30g), 酱油(15g), 料酒(10g), 淀粉(8g), 盐(2g), 糖(2g), 高汤或水(200g)","午餐, 晚餐",咸鲜,8.5,320,22,20,12,荤菜
289,辣椒炒肉,猪肉菜系,"猪肉(150g), 青椒(80g), 红椒(20g), 大蒜(10g), 姜(5g), 食用油(20g), 生抽(15g), 老抽(5g), 料酒(10g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,8.5,420,25,32,10,荤菜
290,辣椒肉丝,猪肉菜系,"猪里脊肉(120g), 青椒(80g), 红椒(20g), 食用油(15g), 酱油(10g), 料酒(5g), 淀粉(5g), 姜(5g), 蒜(5g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,6.5,280,22,18,8,荤菜
291,过油肉,猪肉菜系,"猪里脊肉(100g), 木耳(30g), 蒜苔(50g), 葱(10g), 姜(5g), 蒜(5g), 鸡蛋(15g), 淀粉(10g), 食用油(20g), 酱油(10g), 醋(5g), 料酒(5g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,5.8,320,22,18,15,荤菜
292,酥猪排配糯米藕,猪肉菜系,"猪里脊排(150g), 糯米(60g), 莲藕(100g), 葱(5g), 姜(5g), 料酒(10g), 生抽(15g), 老抽(5g), 白糖(10g), 八角(1g), 桂皮(1g), 面包糠(30g), 鸡蛋(50g), 面粉(20g), 食用油(25g), 食盐(2g)","午餐, 晚餐",咸鲜,12.5,585,28,22,65,荤菜
293,酸姜豆肉沫,猪肉菜系,"酸豆角(60g), 猪肉末(70g), 酸姜(30g), 蒜末(5g), 食用油(15g), 酱油(8g), 糖(3g), 米饭(300g)","午餐, 晚餐",酸辣,5.8,625,18,20,90,荤菜
294,酸菜大肠,猪肉菜系,"酸菜(100g), 猪大肠(150g), 姜(10g), 蒜(10g), 干辣椒(5g), 食用油(15g), 料酒(10g), 酱油(10g), 糖(5g), 盐(2g)","午餐, 晚餐",酸辣,8.5,320,15,22,12,荤菜
295,酸菜滑排骨,猪肉菜系,"猪排骨(150g), 酸菜(100g), 土豆(80g), 生姜(5g), 大蒜(5g), 食用油(15g), 酱油(8g), 料酒(5g), 白砂糖(3g), 盐(2g)","午餐, 晚餐",酸辣,8.5,380,20,25,18,荤菜
296,酸菜炒猪肚,猪肉菜系,"猪肚(150g), 酸菜(100g), 青椒(30g), 红椒(20g), 姜(10g), 蒜(10g), 葱(10g), 食用油(15g), 料酒(10g), 生抽(10g), 糖(5g), 盐(2g)","午餐, 晚餐",酸辣,8.5,320,22,20,12,荤菜
297,酸菜炒肉沫,猪肉菜系,"猪肉沫(100g), 酸菜(80g), 食用油(15g), 蒜末(10g), 姜末(5g), 干辣椒(2g), 生抽(10g), 糖(3g)","午餐, 晚餐",酸辣,4.2,320,15.5,25,8,荤菜
298,酸菜炒肺子,猪肉菜系,"猪肺(熟制，150g), 酸菜(80g), 青椒(20g), 红椒(20g), 姜(5g), 蒜(5g), 葱(10g), 食用油(15g), 酱油(8g), 料酒(5g), 盐(2g), 糖(1g), 淀粉(3g)","午餐, 晚餐",酸辣,6.8,285,18,18,12,荤菜
299,酸菜烂肉碗豆,猪肉菜系,"酸菜(80g), 猪肉末(100g), 干豌豆(60g), 食用油(15g), 姜(5g), 蒜(5g), 盐(2g), 鸡精(1g), 水(适量)","午餐, 晚餐",酸辣,4.8,320,18,16,25,荤菜
300,酸菜猪肘,猪肉菜系,"猪肘肉(200g), 酸菜(100g), 土豆(80g), 食用油(15g), 姜(10g), 蒜(10g), 葱(5g), 干辣椒(2g), 八角(1g), 酱油(10g), 料酒(10g), 糖(5g), 盐(3g)","午餐, 晚餐",酸辣,9.5,450,18,32,15,荤菜
301,酸菜猪脚,猪肉菜系,"猪脚(200g), 酸菜(100g), 姜(10g), 蒜(10g), 葱(5g), 干辣椒(5g), 食用油(15g), 酱油(10g), 料酒(10g), 盐(3g), 糖(2g), 水或高汤(200g)","午餐, 晚餐",酸辣,12.5,450,25,32,10,荤菜
302,酸菜白肉,猪肉菜系,"五花肉(150g), 酸菜(100g), 粉丝(50g), 姜(10g), 葱(10g), 食用油(15g), 盐(3g), 鸡精(2g)","午餐, 晚餐",酸辣,8.5,450,18,32,20,荤菜
303,酸菜肚片,猪肉菜系,"猪肚(100g), 酸菜(50g), 姜(5g), 蒜(5g), 青椒(20g), 红椒(10g), 食用油(15g), 盐(2g), 糖(1g), 料酒(5g), 淀粉(3g)","午餐, 晚餐",酸辣,8.5,210,15,12,10,荤菜
304,酸豆角肉沫,猪肉菜系,"酸豆角(80g), 猪肉末(60g), 食用油(8g), 蒜末(5g), 姜末(3g), 干辣椒(2g), 生抽(5g), 老抽(2g), 糖(1g), 盐(1g), 葱花(2g)","午餐, 晚餐",酸辣,3.8,205,10.5,14.2,8.3,荤菜
305,野山笋脆肚,猪肉菜系,"猪肚(100g), 野山笋(80g), 青椒(30g), 红椒(20g), 姜(10g), 蒜(10g), 食用油(15g), 盐(2g), 生抽(10g), 料酒(5g), 淀粉(3g)","午餐, 晚餐",咸鲜,8.5,195,15,10,12,荤菜
306,锅包肉,猪肉菜系,"猪里脊肉(200g), 土豆淀粉(100g), 白砂糖(50g), 白醋(30g), 胡萝卜丝(20g), 葱丝(10g), 姜丝(10g), 蒜末(10g), 食用油(50g), 盐(3g)","午餐, 晚餐",咸鲜,12.5,485,25,18,55,荤菜
307,锅烧肉配卤藕,猪肉菜系,"猪肉(150g), 卤藕(100g), 食用油(15g), 酱油(15g), 料酒(10g), 姜(5g), 蒜(5g), 八角(2g), 冰糖(5g)","午餐, 晚餐",咸鲜,8.5,450,25,30,20,荤菜
308,雕梅扣肉,猪肉菜系,"带皮五花肉(200g), 雕梅(50g), 葱(10g), 姜(10g), 料酒(15g), 酱油(20g), 老抽(5g), 冰糖(15g), 食用油(15g)","午餐, 晚餐",咸鲜,18.5,520,18,42,15,荤菜
309,霸王肘子,猪肉菜系,"猪肘(500g), 葱(20g), 姜(15g), 八角(3g), 桂皮(2g), 香叶(1g), 冰糖(20g), 食用油(15g), 老抽(15g), 生抽(20g), 料酒(20g), 盐(5g)","午餐, 晚餐",咸鲜,18.5,850,45,65,15,荤菜
310,青椒炒五花肉,猪肉菜系,"五花肉(120g), 青椒(80g), 食用油(15g), 姜(5g), 蒜(10g), 生抽(10g), 老抽(3g), 盐(2g)","午餐, 晚餐",咸鲜,8.5,420,12,38,6,荤菜
311,青椒炒火腿肠,猪肉菜系,"青椒(100g), 火腿肠(150g), 食用油(15g), 盐(2g), 蒜(10g)","午餐, 晚餐",咸鲜,3.5,280,12,20,10,荤菜
312,青椒炒猪心,猪肉菜系,"猪心(150g), 青椒(100g), 红椒(20g), 大蒜(10g), 生姜(5g), 食用油(15g), 生抽(10g), 料酒(5g), 淀粉(3g), 盐(2g), 糖(1g)","午餐, 晚餐",咸鲜,6.8,280,25,16,8,荤菜
313,青椒炒猪肚,猪肉菜系,"猪肚(150g), 青椒(100g), 红椒(20g), 姜(10g), 蒜(10g), 食用油(15g), 料酒(10g), 生抽(15g), 老抽(5g), 盐(2g), 糖(2g), 白胡椒粉(0.5g), 淀粉(5g)","午餐, 晚餐",咸鲜,8.5,320,20,18,15,荤菜
314,青椒炒猪肝,猪肉菜系,"猪肝(150g), 青椒(100g), 红椒(30g), 姜(10g), 蒜(10g), 葱(10g), 食用油(15g), 料酒(10g), 生抽(10g), 老抽(5g), 蚝油(10g), 淀粉(10g), 盐(3g), 糖(2g), 胡椒粉(1g)","午餐, 晚餐",咸鲜,6.5,285,26,14,12,荤菜
315,青椒炒猪舌,猪肉菜系,"猪舌(100g), 青椒(50g), 食用油(15g), 葱(5g), 姜(5g), 蒜(5g), 料酒(10g), 生抽(10g), 老抽(3g), 盐(2g), 糖(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,8.5,250,18,16,8,荤菜
316,青椒炒猪血丸子,猪肉菜系,"猪血丸子(120g), 青椒(80g), 食用油(15g), 大蒜(10g), 生姜(5g), 盐(2g), 生抽(8g)","午餐, 晚餐",咸鲜,5.8,235,12.5,16.2,8.7,荤菜
317,青椒炒耳片,猪肉菜系,"猪耳(100g), 青椒(80g), 红椒(20g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(8g), 料酒(5g), 盐(2g), 糖(1g)","午餐, 晚餐",咸鲜,6.5,320,18,24,8,荤菜
